Age (Ma),Ti,Y,Hf,Th,U,La,Ce,Nd,Sm,Eu/Eu*,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,,2 settings（ssrf）,2 settings（rf）,7 detailed settings（ssrf）,7 detailed settings（rf）
3358,2.821073559,1349.94625,12420,161.5,496,0.97,25.8,2.95,4.99,0.469447357,31.8,10.76,116.8,44.4,187.2,39.8,359,60.9,,Continental,Continental,Continental arc,Continental arc
3455,7.5,586,9750,70.7,171.2,0.97,23.6,4.9,4.7,0.458420844,17.4,5.09,55.6,20.4,89.8,18.61,174.4,32.2,,Continental,Continental,Continental arc,Continental arc
3458,11.23004282,950.94625,8910,163.8,313.3,0.94,11.81,6.66,5.16,0.751434226,20.9,6.77,79.6,31.6,143.7,34.7,352,74,,Continental,Continental,Continental arc,Continental arc
3443,5.1,901,10290,98.8,274,0.93,22.1,3.57,3.86,0.417839125,21.2,6.99,80.1,31.7,143.9,33,309,52.2,,Continental,Continental,Continental arc,Continental arc
3459,31.89983178,708.94625,9760,98.4,201,0.86,8.26,4.07,4.21,0.540263706,19.6,5.95,65.8,23.9,102.7,23.7,229.3,44.7,,Continental,Continental,Continental arc,Continental arc
3458,4.199059489,909.94625,10980,74.4,184.8,0.79,11.3,7.3,5.99,0.937312658,25.9,7.86,90.9,32.8,137.1,29.53,279.5,49.6,,Continental,Continental,Continental arc,Continental arc
2544,5.6,622,9435,155.52,241.2,0.7852,38.18,5.05,5.97,0.718973716,22.77,6.4,64.08,20.82,84.04,20.31,235,47.18,,Continental,Continental,Continental arc,Continental arc
3438,2.799372993,633.94625,10730,54.1,193,0.71,22,3.8,6.5,0.42203039,18.3,5.2,55.9,20.9,95.8,21.6,209.1,36,,Continental,Continental,Continental arc,Continental arc
3425,4.958579293,2208.94625,8000,317,736,0.65,10.99,5.17,8.69,0.442927552,48.4,15.6,175,64.9,284,63.2,585,105,,Continental,Continental,Continental arc,Continental arc
3467,3.797599021,687.94625,9340,116.3,255.8,0.645,10.8,8.6,4.9,0.37642538,15.9,4.91,57.5,22.28,104.9,25.23,264,55.9,,Continental,Continental,Continental arc,Continental arc
3454,3.775898455,775.94625,9420,85.9,192.5,0.64,15.96,3.19,3.56,0.382313807,17.75,5.71,66.9,25.91,118.5,25.91,253.2,49.46,,Continental,Continental,Continental arc,Continental arc
3449,3.74,780,9810,84.5,209,0.63,26,6.08,4.61,0.416131119,20.9,6.37,72.1,26.2,118.7,25.6,231.7,41.1,,Continental,Continental,Continental arc,Continental arc
3429,7.264161187,766.94625,10100,79.1,199.2,0.61,27.2,9.3,5.8,1.158988997,23.3,6.61,70.1,24.7,110,24.1,228,41.1,,Continental,Continental,Continental arc,Continental arc
3469,4.4,742,9990,73.1,190,0.58,20.5,2.3,3.31,0.350454018,17.7,5.65,66.7,24.5,103.9,23.4,214,40.4,,Continental,Continental,Continental arc,Continental arc
3450,4.994305513,697.2298438,10070,76.5,205.4,0.56,22.1,5.2,4.38,0.442618695,18.3,5.69,63.5,23.16,103.4,22.76,211.2,37.9,,Continental,Continental,Continental arc,Continental arc
3420,4.425141459,769.94625,10740,125.3,297,0.53,21.4,2.27,3.69,0.432623067,21.7,6.71,74.6,26.6,115.9,26.1,252,44,,Continental,Continental,Continental arc,Continental arc
3456,5.7,930,9900,89.2,240.4,0.51,22.9,2.24,3.58,0.34411455,20.2,6.53,77.4,31,136.5,31.4,286,51.8,,Continental,Continental,Continental arc,Continental arc
3471,5.045381557,1348.94625,9530,165.6,286.4,0.46,11.87,8.1,7.42,0.638945952,32.2,10,112,41.3,185,42.5,422,79.9,,Continental,Continental,Continental arc,Continental arc
3476,6.003754397,1866.94625,8450,223.2,347,0.46,23.3,8.37,10.28,0.305242541,43.6,13.86,156.4,59.6,252.4,53.3,482,87.1,,Continental,Continental,Continental arc,Continental arc
3453,6.076158434,1491.94625,8800,73.2,129,0.453,10,4.75,6.44,0.556049841,32.77,11.07,128.9,46.4,194.2,40.3,351.1,59.84,,Continental,Continental,Continental arc,Continental arc
3463,5.294938064,1208.94625,9060,154.3,256,0.45,10.26,6.09,7.65,0.540508728,31.9,9.94,112.5,40.8,175.9,38.11,360.2,70.06,,Continental,Continental,Continental arc,Continental arc
3668,7.2,1082,10860,141.9,219.6,0.435,14.07,4.48,4.55,0.161039037,17.1,5.79,74.7,30.7,157.2,34.7,344,73.3,,Continental,Continental,Continental arc,Continental arc
3268,9.1,1910,8960,221,523,0.433,11.5,2.82,4.9,0.426827454,34.1,12.7,161,63,283,64.8,605,112.1,,Continental,Continental,Continental arc,Continental arc
3456,5.598745986,572.94625,8290,54.3,115,0.402,8.02,4.39,4.45,0.309576708,33.5,8.11,84,29.12,115.4,25.61,205.4,42.2,,Continental,Continental,Continental arc,Continental arc
3462,2.586328185,2409.94625,8190,105.1,197.3,0.401,10.58,2.09,5.91,0.456472402,43.1,15.7,190.4,74.8,327,71.7,675,118.5,,Continental,Oceanic,Oceanic arc,Oceanic arc
3462,6.6,673,9500,74.9,188.1,0.399,22.1,2.87,4.41,0.351928253,18.4,5.66,63.2,22.45,100,21.89,199.8,37.7,,Continental,Continental,Continental arc,Continental arc
3694,2.6,577,9740,27.3,66.7,0.394,8.2,5.2,4.83,0.148682426,12.5,3.35,39.4,16.01,84.8,19.9,209,47.6,,Continental,Continental,Continental arc,Continental arc
3462,8.289616149,3733.94625,8540,221.2,292.7,0.378,27,9.91,19.12,0.326593539,104.1,32.54,352.5,121.9,476,92.5,765,126.8,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
3445,9.121539991,5428.94625,8470,332,386,0.376,29.15,14.2,31.2,0.343372077,168.6,52.3,557,187.2,702,133.9,1079,173.7,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
3471,6.021907019,671.94625,9430,124.4,247.2,0.355,10.07,6.38,4.98,0.818384984,16.45,4.93,57,22,101.3,24.29,255.6,53.5,,Continental,Continental,Continental arc,Continental arc
3458,7.021384513,2808.94625,9080,192.2,280,0.35,17.56,8.71,14.97,0.393418213,78.7,24.84,269.3,93.4,368,74.5,636.3,108.1,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
3449,7.161186726,542.94625,10050,62.7,165,0.347,17.6,1.74,2.96,0.370060512,13.24,4.32,45.6,17.35,80.4,17.84,169.9,31.4,,Continental,Continental,Continental arc,Continental arc
3475,14.53937911,2928.94625,8158,149,220.5,0.345,21.4,5.44,9.73,0.333915477,62.9,21.9,256,93,377,74.1,616,106.8,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
3463,6.195511546,945.94625,9680,94,223,0.34,8.47,2.64,3.79,0.512328776,19.1,6.71,82,32.2,145,33.3,333,66.8,,Continental,Continental,Continental arc,Continental arc
3465,3.396138553,637.94625,10900,143.4,313.1,0.34,5.51,3.42,3.48,0.708591093,16.1,5.05,57.1,21.24,97.6,21.62,216.6,46.67,,Continental,Continental,Continental arc,Continental arc
3457,5.023680991,494.94625,9460,78.9,188.8,0.334,6.13,3.05,2.54,0.660262503,8.56,3.08,39.5,16.01,80.7,20.6,233.1,48.9,,Continental,Continental,Continental arc,Continental arc
3484,6.130409849,891.94625,8330,142.6,245.4,0.327,15.37,2.68,3.15,0.331991974,17,5.86,72.7,30.04,141.2,31.86,299.9,58.9,,Continental,Continental,Continental arc,Continental arc
3609,33.6,2490,13530,235,393,0.32,17.7,11.1,13,1.225293114,78,50,403,98,281,50,400,76,,Continental,Continental,Continental arc,Hotspot-MOR
3835.2,6.5,954,9700,54.9,180.3,0.32,9.88,2.21,2.7,0.185556247,12.81,4.7,64.4,27.7,147,34.4,351,77.7,,Continental,Continental,Continental arc,Continental arc
3440,5.657337513,1471.451625,9790,129,241.6,0.31,12.8,4.4,7.5,0.499668017,37.8,12.62,145.6,55.17,236.5,50.77,456.5,83.8,,Continental,Continental,Continental arc,Continental arc
3469,6.477618902,721.94625,10250,76.6,182.1,0.305,15.92,2.72,3.16,0.459613685,15.64,5.25,60.9,24.01,111.5,25.46,248.6,47.4,,Continental,Continental,Continental arc,Continental arc
3464,4.882627313,630.94625,9760,111.6,263.3,0.293,10.4,5.1,5.8,0.35733455,40.2,10.62,111,40.88,158.1,33.12,280.7,51.2,,Continental,Continental,Continental arc,Continental arc
3426,5.346371769,2117.34625,9100,141.4,242.7,0.26,14,5.4,9.77,0.395843576,53.9,17.33,193.3,68.3,278.4,57.24,502.5,87.5,,Continental,Continental,Continental arc,Continental arc
3448,5.153884386,1028.94625,10660,129.1,353,0.26,18.25,2.3,4.17,0.347007842,24.9,8.34,93.2,33.4,146.8,32.4,294,48.6,,Continental,Continental,Continental arc,Continental arc
3473,3.591443646,671.94625,9010,96.1,231.3,0.256,6.07,2.13,2.28,0.525948299,12.2,4.29,51.4,21.34,102.3,25.33,271.8,57.9,,Continental,Continental,Continental arc,Continental arc
2674,8.29,711,10365,84,225,0.243,9.73,2.65,3.82,0.374369412,21,6.61,71.8,24.4,98.4,21.4,203,31.2,,Continental,Continental,Continental arc,Continental arc
3450,3.1,806,13100,114,209,0.23,14.9,8.3,7.8,0.954056766,22,9,84,28,108,23,213,45,,Continental,Continental,Continental arc,Continental arc
3450,8.2,1095,12800,108,238,0.22,14.7,7.5,6.6,1.083144528,30,16,136,38,135,29,258,53,,Continental,Continental,Continental arc,Continental arc
3463,1.627542438,236.54625,12790,26.7,102.6,0.22,8.48,0.71,0.59,0.542226558,4.29,1.44,18.5,7.63,37.1,9.07,98.3,18.92,,Continental,Continental,Continental arc,Continental arc
3460,6.369116073,534.94625,9700,92.5,229.4,0.218,4.41,1.78,1.85,0.69487465,9.99,3.46,43.3,17.51,85,20.82,223.2,48.6,,Continental,Continental,Continental arc,Continental arc
3483,6.897231993,1648.94625,9230,79,167.4,0.217,11.66,3.83,6.29,0.38254095,35.3,12.23,138.9,51.8,217,47,408,70.7,,Continental,Oceanic,Continental arc,Hotspot-MOR
3556,3.48,685,9980,33.1,80,0.196,7.03,2.21,2.79,0.181687193,11.39,3.87,48.3,19.33,99.8,22,215.4,46.7,,Continental,Continental,Continental arc,Continental arc
3355,3.1,955,13400,154,229,0.19,16.6,3.7,5.2,0.481226827,25,11,100,32,129,27,251,51,,Continental,Continental,Continental arc,Continental arc
3374,96.7,4420,12800,909,1024,0.19,35.2,7.4,16.3,1.610513928,133,93,772,176,482,82,641,107,,Continental,Oceanic,Continental arc,Hotspot-MOR
3333,6.195511546,1113.94625,9760,173.8,395,0.187,22.82,1.82,4.3,0.328550773,29.6,9.81,110.5,38.32,166.4,34.02,296.1,52.98,,Continental,Continental,Continental arc,Continental arc
3461,12.40740174,3438.94625,7760,171.8,228.7,0.165,17.27,8.42,16.89,0.35164107,96.2,30,331,113.5,439,83.8,695,116.9,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
3425,4.3,584,12900,76,163,0.16,10.3,1.6,1.9,0.981342272,13,7,60,20,79,18,169,37,,Continental,Continental,Continental arc,Continental arc
3466,10.16671509,2999.94625,8990,144.4,214.6,0.156,14.92,7.68,15.3,0.340801097,84.5,26.03,282,97,373,71.6,592,99.9,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
3432,8.352737422,640.94625,9770,58.7,200.1,0.151,10.56,1.52,2.55,0.404910806,13.28,4.65,54.28,20.78,96.2,22.18,208.1,39.48,,Continental,Continental,Continental arc,Continental arc
3454,5.240686649,1388.94625,9080,109.3,193,0.151,9.04,5.01,7.47,0.524909425,33.4,10.72,123.3,43.8,188.4,39.7,368,68.3,,Continental,Continental,Continental arc,Continental arc
3660,11.1,1245,13100,131,221,0.15,14.3,5.7,7.4,0.957934077,37,21,168,43,146,27,246,48,,Continental,Continental,Continental arc,Continental arc
3422,6.260613244,507.94625,9230,76.5,163.2,0.135,16.71,1.38,2.45,0.355123283,13.54,4.04,45.3,17.22,76.5,16.68,159.3,30.71,,Continental,Continental,Continental arc,Continental arc
3466,5.804901361,791.94625,8770,72.2,183,0.129,7.78,1.99,2.53,0.590094521,13.42,4.93,62,25.7,122.3,30.9,318,63,,Continental,Continental,Continental arc,Continental arc
2909,4.82,1492,8721,98.46,243.04,0.1167,10.53,2.63,6.46,0.461104904,42.62,14.71,164.35,53.91,209.39,45.92,482,88.72,,Continental,Continental,Continental arc,Continental arc
2548,4.72,1089,9213,86.73,145.34,0.1101,7.53,2.06,4.18,0.307553842,22.57,8.1,101.59,38.47,169.88,41.08,461,90.98,,Continental,Oceanic,Continental arc,Continental arc
3450,1.7,323,14500,52,147,0.11,7.3,3.5,3.1,1.096479459,9,4,31,10,40,9,86,18,,Continental,Continental,Continental arc,Continental arc
3450,59.1,4261,9900,276,493,0.11,21.1,5.4,12.4,1.162992093,128,84,605,136,391,71,536,98,,Continental,Oceanic,Continental arc,Hotspot-MOR
3459,5.284087781,809.94625,9270,99.2,199.8,0.11,15.68,1.95,3.6,0.390989956,19.33,5.96,70.7,26.54,121.8,26.92,259.7,49.7,,Continental,Continental,Continental arc,Continental arc
3452,5.606048325,3458.94625,8720,170.1,242,0.103,19.06,8.79,17.7,0.325961164,97.4,30.3,328,109.5,425,82.7,674,111.7,,Oceanic,Oceanic,Hotspot-MOR,Hotspot-MOR
2520,7.12,410,8160,42.9,86.2,0.1,7.29,2.98,2.42,0.437762927,10.1,2.99,35.1,13.6,63.6,15.6,157,28.1,,Continental,Continental,Continental arc,Continental arc
3271,18.5,1269,13200,136,230,0.1,13.4,3.5,5.1,1.131122879,40,24,181,42,136,24,221,42,,Continental,Continental,Continental arc,Continental arc
3422,4,690,12000,121,218,0.1,16.7,1.9,2.8,0.43817589,14,6,56,22,95,22,199,44,,Continental,Continental,Continental arc,Continental arc
3450,5.6,854,14500,145,259,0.1,12.6,1.9,2.8,0.834794604,21,12,98,26,96,20,182,37,,Continental,Continental,Continental arc,Continental arc
3462,3.092330632,695.94625,10370,67.4,194.5,0.093,21.7,1.76,3.07,0.384570644,17.7,5.6,64,24.1,102.7,22.97,219.7,37.8,,Continental,Continental,Continental arc,Continental arc
3275,5.6,1028,12500,144,256,0.09,16,2.9,4.8,0.736725111,26,13,106,33,122,27,245,52,,Continental,Continental,Continental arc,Continental arc
3466,3.613144212,685.94625,9030,70.8,142.4,0.09,11.4,1.56,2.94,0.431924297,16.27,5.43,59.6,22.8,101.5,23,218,41.5,,Continental,Continental,Continental arc,Continental arc
3378,11.2,3093,9300,334,350,0.08,19.5,13.2,22.4,0.617898625,96,36,300,99,385,80,680,135,,Continental,Continental,Continental arc,Continental arc
3387,4.220760055,654.94625,9530,76.3,170,0.08,15,1.4,2.8,0.374791001,15.5,4.96,57,21.74,97.8,21.94,211.6,40.1,,Continental,Continental,Continental arc,Continental arc
3450,8.7,1453,13500,229,316,0.08,18.4,5.8,7.9,0.744241256,43,21,166,48,170,34,307,63,,Continental,Continental,Continental arc,Continental arc
3450,34.1,2461,11600,221,445,0.08,19.6,3.2,6.8,1.09765182,69,44,342,83,250,48,386,73,,Continental,Continental,Continental arc,Hotspot-MOR
3678,28.8,2070,13500,180,308,0.08,14.8,2.9,6.9,0.99548413,61,39,296,71,215,38,343,66,,Continental,Continental,Continental arc,Continental arc
2522,7.43,563,10294,110.51,320.47,0.0774,14.71,2.12,4.51,0.63611185,19.76,5.79,59.35,19.61,79.18,18.64,206,40.57,,Continental,Continental,Continental arc,Continental arc
3452,2.777672427,516.34625,9780,54.9,145.4,0.071,10.64,0.8,2.17,0.338561742,10.14,3.4,40.6,16.14,75,17.62,174.3,36.47,,Continental,Continental,Continental arc,Continental arc
3349,38.9,3098,11900,228,404,0.07,14.7,4.8,12,1.38743723,119,66,459,106,311,54,432,83,,Continental,Continental,Continental arc,Hotspot-MOR
3377,22.8,2379,13400,207,393,0.07,18.4,3.4,6.4,1.311333095,61,45,359,87,263,50,431,83,,Continental,Continental,Continental arc,Continental arc
3781,15.8,801,9160,56,111.8,0.066,7.23,0.835,1.85,0.238229742,12.05,4.54,57.8,23.56,119.3,26.17,258.2,54.6,,Continental,Continental,Continental arc,Continental arc
2374,10.2,582,11217,42.2,208,0.065,3.91,0.24,0.98,0.39713464,8.23,3.4,45.9,19.3,95.4,23.8,252,42.7,,Continental,Continental,Continental arc,Continental arc
3450,11.1,1004,12700,132,262,0.06,16.7,2,3.3,0.805440137,25,15,126,36,125,25,225,48,,Continental,Continental,Continental arc,Continental arc
3450,19.9,1655,13333,192,319,0.06,16.1,2.5,4.8,1.278959338,50,33,256,62,183,32,275,52,,Continental,Continental,Continental arc,Continental arc
3489,3.8,787,11600,124,187,0.06,23.3,3.7,5.2,0.836932365,20,7,72,26,106,24,236,49,,Continental,Continental,Continental arc,Continental arc
3436,2.5,597,9580,67.7,213,0.056,9.36,1.03,2.17,0.373076803,14.1,4.54,54.7,19.9,91.2,19.8,178.9,33,,Continental,Continental,Continental arc,Continental arc
3464,2.6,591,10020,62.8,174,0.054,16.2,0.94,2.37,0.391027348,15.6,4.85,55.4,20.1,91.9,20.7,197,35.7,,Continental,Continental,Continental arc,Continental arc
2564,5.38,1197,9139,68.54,146.72,0.051,7.44,2.49,4.88,0.312169649,25.84,9.32,113.37,42.39,184.87,43.92,485,95.88,,Continental,Oceanic,Continental arc,Continental arc
2624,6.63,244,11127,27.5,107,0.05,6.43,1.61,1.7,0.456255804,5.8,1.71,19.4,7.89,37.8,9.47,101,18.4,,Continental,Continental,Continental arc,Continental arc
3450,21.3,1419,13700,185,321,0.05,14.2,3.5,6,1.020742898,50,24,180,47,160,33,279,58,,Continental,Continental,Continental arc,Continental arc
3702,4.4,893,13600,101,244,0.05,11,1.8,4.2,0.798216315,20,11,100,31,117,25,234,47,,Continental,Continental,Continental arc,Continental arc
2627,5.21,382,10191,137,179,0.044,10.6,0.67,1.41,0.308356881,8.49,2.76,33.6,12.7,57.4,14.3,145,25.3,,Continental,Continental,Continental arc,Continental arc
2162,7.2,301,10602,66.3,697,0.042,6.22,0.67,0.91,0.295399393,6.74,2.3,27.3,9.88,40.3,8.85,89,14.9,,Continental,Continental,Continental arc,Continental arc
3464,4.112257226,720.94625,9410,90,179.7,0.041,15.06,1.12,2.92,0.342252721,15.24,5.12,59.3,23.28,107.2,24.14,232.5,45.76,,Continental,Continental,Continental arc,Continental arc
3450,10.9,1177,12400,121,299,0.04,13.9,1.3,3.2,0.964439697,30,17,139,38,126,28,234,48,,Continental,Continental,Continental arc,Continental arc
3450,20.6,1655,12200,177,339,0.04,13.3,3.4,5,0.964123132,52,28,190,45,137,28,225,44,,Continental,Continental,Continental arc,Continental arc
2443,7.82,690,10113,60.4,205,0.039,5.03,0.38,1.24,0.324117994,10.3,4.5,59.9,24.3,110,28.2,301,49.3,,Continental,Continental,Continental arc,Continental arc
3460,4.557118826,531.94625,8950,68.5,201.8,0.038,4.41,0.71,1.36,0.524736645,8.09,2.95,38.8,17.38,88.5,22.39,246.2,53,,Continental,Continental,Continental arc,Continental arc
2189,8.57,457,11004,69.5,172,0.037,3.38,0.51,0.81,0.221580255,7.57,2.96,37.8,13.9,62.4,15,152,25.7,,Continental,Continental,Continental arc,Continental arc
3464,3.916952133,664.94625,9500,67.1,162.3,0.037,11.84,1.25,2.7,0.366284499,14.39,4.77,56,22.03,101.3,22.99,225,44,,Continental,Continental,Continental arc,Continental arc
3476,3.895251568,479.94625,9430,42.1,128,0.037,3.84,0.93,1.49,0.47331169,8.39,3.04,39.3,15.25,74.5,18.26,194.3,40.39,,Continental,Continental,Continental arc,Continental arc
2716,8.49,657,9859,116,172,0.036,11.8,2.85,4.76,0.349308641,21.9,6.44,65.2,22.7,94.8,21.4,214,35.2,,Continental,Continental,Continental arc,Continental arc
2452,12.7,959,9697,78.2,211,0.032,7.03,0.79,1.92,0.267554239,12.5,5.47,76.4,31.6,156,38.1,405,69.7,,Continental,Continental,Continental arc,Continental arc
3454,6.723627466,2459.94625,7830,102.4,167.4,0.032,11.56,4.22,9.85,0.326520853,61.2,19.89,225.7,78,312.8,61.9,524,89.2,,Continental,Oceanic,Hotspot-MOR,Hotspot-MOR
3335,14.4,1544,11700,164,278,0.03,17.1,2.3,4.9,1.019923393,42,25,174,45,149,32,261,55,,Continental,Continental,Continental arc,Continental arc
3350,23.4,1718,12900,182,351,0.03,17.5,2.2,4.5,1.285919597,48,32,247,62,187,37,315,61,,Continental,Continental,Continental arc,Continental arc
3450,13.1,1066,13100,244,320,0.03,14.7,1.8,3.8,1.113425548,30,19,153,39,122,23,192,39,,Continental,Continental,Continental arc,Continental arc
2666,8.76,897,9892,133,256,0.028,13.9,1.29,2.75,0.339456556,18.3,6.29,80.1,31.3,140,32.3,319,52.4,,Continental,Continental,Continental arc,Continental arc
2496,5.01,1077,8286,97.3,190,0.027,7.93,0.75,1.98,0.31955689,17.1,6.64,84.8,35.1,162,38.2,384,67.6,,Continental,Continental,Continental arc,Continental arc
2518,13.3,1308,9682,96.4,296,0.027,12.1,0.12,2.49,0.293444284,17.2,6.96,93,41,200,49.2,513,87.1,,Continental,Continental,Continental arc,Continental arc
2663,9.08,481,9457,41.3,91.5,0.026,5.64,1.19,2.56,0.308853144,12.8,4.2,44.7,15.6,63.9,12.8,117,20.3,,Continental,Continental,Continental arc,Continental arc
3467,6.152110414,1938.94625,8540,76.5,131.8,0.025,10.31,4.34,9.16,0.312365055,53.1,16.8,180,62.4,247,48.8,411,66.1,,Continental,Oceanic,Hotspot-MOR,Hotspot-MOR
3295,2.9,830,13200,126,227,0.02,12.7,2.1,3.5,0.448558844,19,9,84,30,119,27,253,52,,Continental,Continental,Continental arc,Continental arc
3450,2.6,801,14200,119,300,0.02,11.9,1,2.4,0.420696936,14,6,62,24,109,25,250,54,,Continental,Continental,Continental arc,Continental arc
3450,9.1,1038,13500,212,332,0.02,16.8,1.8,3.4,0.925758205,25,16,136,37,126,24,217,44,,Continental,Continental,Continental arc,Continental arc
2562,4.22,206,12902,25.1,139,0.017,2.38,0.36,0.88,0.459539305,5.12,1.7,19.9,6.82,29.7,7.22,71.9,12.2,,Continental,Continental,Continental arc,Continental arc
2570,5.47,363,9380,24.7,74.9,0.017,3.29,0.45,0.96,0.486028422,8.67,2.9,32,11.6,49.7,11.1,104,18.5,,Continental,Continental,Continental arc,Continental arc
2732,7.41,751,9740,127,202,0.016,14.4,2.15,3.63,0.338176643,20.2,6.06,70.9,25.5,115,27.4,270,44.6,,Continental,Continental,Continental arc,Continental arc
2509,7.34,396,9849,32.1,117,0.012,4.26,0.44,1.29,0.403922365,8.94,3.36,39.3,13.7,57.8,13.3,133,21.5,,Continental,Continental,Continental arc,Continental arc
2543,6.51,454,8514,46.5,106,0.011,4.01,1.39,2.43,0.44881759,14.7,4.23,46.7,15.7,65,13.9,132,22,,Continental,Continental,Continental arc,Continental arc
3450,2.7,579,13000,69,156,0.01,9.4,1.1,2.4,0.284002892,12,4,48,17,79,17,173,38,,Continental,Continental,Continental arc,Continental arc
3636,11.7,1211,12300,134,299,0.01,13.9,2.1,3.9,0.888544928,29,16,131,39,133,29,262,55,,Continental,Continental,Continental arc,Continental arc
2348,6.82,961,9750,52.8,81.5,0.009,4.47,1.12,2.68,0.180846493,18.7,6.65,83.3,31.7,138,30.9,303,49,,Continental,Oceanic,Continental arc,Continental arc
3472,2.962127237,508.94625,9880,53.6,140.5,0.0085,9.39,0.733,1.75,0.313353351,10.66,3.62,43.3,16.48,77,17.9,180.1,34.9,,Continental,Continental,Continental arc,Continental arc
2598,5.34,350,8771,28.2,80.1,0.008,3.49,1.06,1.31,0.507671297,9.58,3.09,33.9,12.5,50,11.1,111,18.1,,Continental,Continental,Continental arc,Continental arc
2483,7.8,1302,9997,101,318,0.007,11.9,1.07,2.43,0.188599976,17.2,7.11,102,43.7,216,54.9,576,91.7,,Continental,Continental,Continental arc,Continental arc
2607,7.69,662,8382,70.5,148,0.007,7.79,0.78,2.54,0.31643537,16.4,5.64,64.9,23,92.2,19.8,189,29.3,,Continental,Continental,Continental arc,Continental arc
2680,12.2,490,8735,61.5,117,0.007,5.74,1.04,2.23,0.368350539,14.2,4.41,51.1,16.8,69.5,14.9,145,23.2,,Continental,Continental,Continental arc,Continental arc
3456,4.947729011,402.94625,10520,53.3,139.7,0.007,2.92,0.84,1.72,0.571772758,8.59,2.92,35.4,13.46,63,15.66,170.5,33.46,,Continental,Continental,Continental arc,Continental arc
2476,3.65,248,9563,17.1,56.5,0.006,2.11,0.064,0.53,0.281057043,4.35,1.58,20,8.39,40.8,11,123,19.3,,Continental,Continental,Continental arc,Continental arc
2644,7.16,214,11139,37.2,152,0.006,6.59,0.22,0.63,0.356898059,4.18,1.51,17.6,6.9,34.1,8.04,84.8,16.2,,Continental,Continental,Continental arc,Continental arc
2602,6.97,238,10919,26.3,161,0.005,4.94,0.09,0.43,0.45378258,3.4,1.48,18.6,7.68,38.4,10.2,115,21.6,,Continental,Continental,Continental arc,Continental arc
2285,3.51,485,9262,35,108,0.004,2.93,0.22,1.04,0.416596922,7.83,2.95,40.6,16,76.4,19.2,202,36.6,,Continental,Continental,Continental arc,Continental arc
2622,16.7,1232,11003,225,515,0.004,11.9,0.92,2.6,0.301560943,23.3,8.72,109,41.5,177,35.8,326,55.1,,Continental,Continental,Continental arc,Continental arc
2672,5.39,485,8037,43,60.1,0.004,6,1.62,3.06,0.322691829,14.7,4.34,45.7,15.4,62.4,12.8,115,20.1,,Continental,Continental,Continental arc,Continental arc
2603,5.45,543,9421,49.6,129,0.002,3.88,0.87,2.36,0.562772353,14.5,4.81,53,19,79.4,17.7,171,27.4,,Continental,Continental,Continental arc,Continental arc
